317: n = 400, k = 10, nl = 1.600000e+01
318: n = 400, k = 10, nl = 1.600000e+01
319: n = 400, k = 10, nl = 1.600000e+01
320: n = 400, k = 10, nl = 1.600000e+01
321: n = 400, k = 15, nl = 2.000000e+00
322: n = 400, k = 15, nl = 2.000000e+00
323: n = 400, k = 15, nl = 2.000000e+00
324: n = 400, k = 15, nl = 2.000000e+00
325: n = 400, k = 15, nl = 2.000000e+00
326: n = 400, k = 15, nl = 2.000000e+00
327: n = 400, k = 15, nl = 2.000000e+00
328: n = 400, k = 15, nl = 2.000000e+00
329: n = 400, k = 15, nl = 2.000000e+00
330: n = 400, k = 15, nl = 2.000000e+00
331: n = 400, k = 15, nl = 4.000000e+00
332: n = 400, k = 15, nl = 4.000000e+00
333: n = 400, k = 15, nl = 4.000000e+00
334: n = 400, k = 15, nl = 4.000000e+00
335: n = 400, k = 15, nl = 4.000000e+00
336: n = 400, k = 15, nl = 4.000000e+00
337: n = 400, k = 15, nl = 4.000000e+00
338: n = 400, k = 15, nl = 4.000000e+00
339: n = 400, k = 15, nl = 4.000000e+00
340: n = 400, k = 15, nl = 4.000000e+00
341: n = 400, k = 15, nl = 8.000000e+00
342: n = 400, k = 15, nl = 8.000000e+00
343: n = 400, k = 15, nl = 8.000000e+00
344: n = 400, k = 15, nl = 8.000000e+00
345: n = 400, k = 15, nl = 8.000000e+00
346: n = 400, k = 15, nl = 8.000000e+00
347: n = 400, k = 15, nl = 8.000000e+00
348: n = 400, k = 15, nl = 8.000000e+00
349: n = 400, k = 15, nl = 8.000000e+00
350: n = 400, k = 15, nl = 8.000000e+00
351: n = 400, k = 15, nl = 1.600000e+01
352: n = 400, k = 15, nl = 1.600000e+01
353: n = 400, k = 15, nl = 1.600000e+01
354: n = 400, k = 15, nl = 1.600000e+01
355: n = 400, k = 15, nl = 1.600000e+01
356: n = 400, k = 15, nl = 1.600000e+01
357: n = 400, k = 15, nl = 1.600000e+01
358: n = 400, k = 15, nl = 1.600000e+01
359: n = 400, k = 15, nl = 1.600000e+01
360: n = 400, k = 15, nl = 1.600000e+01
361: n = 800, k =  5, nl = 2
362: n = 800, k =  5, nl = 2
363: n = 800, k =  5, nl = 2
364: n = 800, k =  5, nl = 2
365: n = 800, k =  5, nl = 2
366: n = 800, k =  5, nl = 2
367: n = 800, k =  5, nl = 2
368: n = 800, k =  5, nl = 2
369: n = 800, k =  5, nl = 2
370: n = 800, k =  5, nl = 2
371: n = 800, k =  5, nl = 4
372: n = 800, k =  5, nl = 4
373: n = 800, k =  5, nl = 4
374: n = 800, k =  5, nl = 4
375: n = 800, k =  5, nl = 4
376: n = 800, k =  5, nl = 4
377: n = 800, k =  5, nl = 4
378: n = 800, k =  5, nl = 4
379: n = 800, k =  5, nl = 4
380: n = 800, k =  5, nl = 4
381: n = 800, k =  5, nl = 8
382: n = 800, k =  5, nl = 8
383: n = 800, k =  5, nl = 8
384: n = 800, k =  5, nl = 8
385: n = 800, k =  5, nl = 8
386: n = 800, k =  5, nl = 8
387: n = 800, k =  5, nl = 8
388: n = 800, k =  5, nl = 8
389: n = 800, k =  5, nl = 8
390: n = 800, k =  5, nl = 8
391: n = 800, k =  5, nl = 16
392: n = 800, k =  5, nl = 16
393: n = 800, k =  5, nl = 16
394: n = 800, k =  5, nl = 16
395: n = 800, k =  5, nl = 16
396: n = 800, k =  5, nl = 16
397: n = 800, k =  5, nl = 16
398: n = 800, k =  5, nl = 16
399: n = 800, k =  5, nl = 16
400: n = 800, k =  5, nl = 16
401: n = 800, k = 10, nl = 2
402: n = 800, k = 10, nl = 2
403: n = 800, k = 10, nl = 2
404: n = 800, k = 10, nl = 2
405: n = 800, k = 10, nl = 2
406: n = 800, k = 10, nl = 2
407: n = 800, k = 10, nl = 2
408: n = 800, k = 10, nl = 2
409: n = 800, k = 10, nl = 2
410: n = 800, k = 10, nl = 2
411: n = 800, k = 10, nl = 4
412: n = 800, k = 10, nl = 4
413: n = 800, k = 10, nl = 4
414: n = 800, k = 10, nl = 4
415: n = 800, k = 10, nl = 4
416: n = 800, k = 10, nl = 4
417: n = 800, k = 10, nl = 4
418: n = 800, k = 10, nl = 4
419: n = 800, k = 10, nl = 4
420: n = 800, k = 10, nl = 4
421: n = 800, k = 10, nl = 8
422: n = 800, k = 10, nl = 8
423: n = 800, k = 10, nl = 8
424: n = 800, k = 10, nl = 8
425: n = 800, k = 10, nl = 8
426: n = 800, k = 10, nl = 8
427: n = 800, k = 10, nl = 8
428: n = 800, k = 10, nl = 8
429: n = 800, k = 10, nl = 8
430: n = 800, k = 10, nl = 8
431: n = 800, k = 10, nl = 16
432: n = 800, k = 10, nl = 16
433: n = 800, k = 10, nl = 16
434: n = 800, k = 10, nl = 16
435: n = 800, k = 10, nl = 16
436: n = 800, k = 10, nl = 16
437: n = 800, k = 10, nl = 16
438: n = 800, k = 10, nl = 16
439: n = 800, k = 10, nl = 16
440: n = 800, k = 10, nl = 16
441: n = 800, k = 15, nl = 2
442: n = 800, k = 15, nl = 2
443: n = 800, k = 15, nl = 2
444: n = 800, k = 15, nl = 2
445: n = 800, k = 15, nl = 2
446: n = 800, k = 15, nl = 2
447: n = 800, k = 15, nl = 2
448: n = 800, k = 15, nl = 2
449: n = 800, k = 15, nl = 2
450: n = 800, k = 15, nl = 2
451: n = 800, k = 15, nl = 4
452: n = 800, k = 15, nl = 4
453: n = 800, k = 15, nl = 4
454: n = 800, k = 15, nl = 4
455: n = 800, k = 15, nl = 4
456: n = 800, k = 15, nl = 4
457: n = 800, k = 15, nl = 4
458: n = 800, k = 15, nl = 4
459: n = 800, k = 15, nl = 4
460: n = 800, k = 15, nl = 4
461: n = 800, k = 15, nl = 8
